t,skew,phase,vpp,filt,avg,amp,rms
1759793148.2473981,-0.8351,329.938,0.588542,0.63047,0.48987,0.292318,0.06981118
1759793148.4152932,9.175600000000001,330.32,0.5875,0.63503,0.49901,0.298229,0.07003186
1759793148.5730982,-0.8151,330.657,0.586458,0.63672,0.488828,0.272552,0.06973881
1759793148.753163,9.1906,330.657,0.594792,0.63867,0.499349,0.29901,0.07001184
1759793148.9555223,9.1906,330.86,0.594792,0.63867,0.48763,0.291875,0.06968496
1759793149.1388147,9.2155,331.377,0.591667,0.63503,0.498516,0.286172,0.06990859
1759793149.3253179,9.2155,331.758,0.591667,0.64635,0.487526,0.27237,0.06954603
1759793149.522283,-0.7751,332.096,0.582292,0.63333,0.49638,0.265833,0.06976403
1759793149.7022371,9.2356,332.481,0.573958,0.63177,0.486797,0.278099,0.06946915
1759793149.8766332,-0.7551,332.817,0.573958,0.63177,0.494245,0.285807,0.06974154
1759793149.9637768,9.2555,333.199,0.603125,0.64583,0.494245,0.285807,0.06974154
1759793150.1040542,-0.7401000000000001,333.35699999999997,0.580208,0.63216,0.487682,0.319193,0.06936488
1759793150.294732,9.275500000000001,333.92,0.589583,0.6375,0.494271,0.292396,0.06965345
1759793150.4829152,-0.7151,334.257,0.586458,0.63229,0.487604,0.259349,0.0693125
1759793150.6603262,9.3005,334.819,0.596875,0.63815,0.491589,0.292057,0.06958241
1759793150.8336465,9.3055,334.998,0.591667,0.63893,0.498698,0.278646,0.06980313
1759793151.0097477,9.3055,334.998,0.591667,0.63893,0.487656,0.265365,0.06941129
1759793151.1909678,-0.69,335.159,0.580208,0.62839,0.487656,0.305625,0.06963706
1759793151.2751904,9.320500000000001,335.539,0.577083,0.63073,0.496771,0.305625,0.06963706
1759793151.4046752,-0.6700999999999999,335.878,0.578125,0.63542,0.48625,0.252135,0.06929159
1759793151.6020432,-0.6700999999999999,335.878,0.578125,0.63542,0.495599,0.272786,0.06949912
1759793151.7771451,9.3405,336.259,0.580208,0.63333,0.484375,0.292552,0.06916306
1759793151.9492726,-0.6451,336.777,0.580208,0.63333,0.484375,0.291771,0.06943153
